standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,16,girls,400 im,scy,358.19,332.59,306.99,294.19,281.49,268.69
single_age,,16,boys,50 fr,scy,21.39,22.39,23.39,24.39,26.39,28.49
single_age,,16,boys,100 fr,scy,46.79,48.99,51.29,53.49,57.89,62.39
single_age,,16,boys,200 fr,scy,102.19,107.09,111.99,116.79,126.59,136.29
single_age,,16,boys,500 fr,scy,277.79,291.09,304.29,317.49,343.99,370.39
single_age,,16,boys,1000 fr,scy,578.89,606.39,633.99,661.59,716.69,771.79
single_age,,16,boys,1650 fr,scy,964.99,1010.89,1056.89,1102.79,1194.69,1286.59
single_age,,16,boys,100 bk,scy,50.79,53.29,55.69,58.09,62.89,67.79
single_age,,16,boys,200 bk,scy,111.39,116.69,121.99,127.29,137.89,148.49
single_age,,16,boys,100 br,scy,57.79,60.49,63.19,65.99,71.49,76.99
single_age,,16,boys,200 br,scy,125.29,131.29,137.29,143.19,155.19,167.09
single_age,,16,boys,100 fl,scy,50.49,52.89,55.29,57.69,62.49,67.29
single_age,,16,boys,200 fl,scy,113.09,118.39,123.79,129.19,139.99,150.69
single_age,,16,boys,200 im,scy,113.49,118.89,124.29,129.69,140.49,151.29
single_age,,16,boys,400 im,scy,242.99,254.49,266.09,277.69,300.79,323.89
single_age,,17,girls,50 fr,scy,31.79,29.49,27.19,26.09,24.99,23.79
single_age,,17,girls,100 fr,scy,68.89,63.99,58.99,56.59,54.09,51.69
single_age,,17,girls,200 fr,scy,148.89,138.29,127.69,122.29,116.99,111.69
single_age,,17,girls,500 fr,scy,401.69,372.99,344.29,329.99,315.59,301.29
single_age,,17,girls,1000 fr,scy,830.99,771.69,712.29,682.59,652.89,623.29
single_age,,17,girls,1650 fr,scy,1395.79,1296.09,1196.39,1146.59,1096.69,1046.89
single_age,,17,girls,100 bk,scy,74.49,69.19,63.89,61.19,58.49,55.89
single_age,,17,girls,200 bk,scy,161.59,150.09,138.49,132.79,126.99,121.19
single_age,,17,girls,100 br,scy,85.59,79.49,73.39,70.29,67.29,64.19
single_age,,17,girls,200 br,scy,186.79,173.49,160.09,153.49,146.79,140.09
single_age,,17,girls,100 fl,scy,74.09,68.79,63.49,60.89,58.19,55.59
single_age,,17,girls,200 fl,scy,165.09,153.29,141.49,135.59,129.69,123.79
single_age,,17,girls,200 im,scy,166.19,154.29,142.39,136.49,130.59,124.59
single_age,,17,girls,400 im,scy,354.09,328.79,303.49,290.89,278.19,265.59
single_age,,17,boys,50 fr,scy,21.09,22.09,23.09,24.09,26.09,28.09
single_age,,17,boys,100 fr,scy,46.09,48.29,50.39,52.59,56.99,61.39
single_age,,17,boys,200 fr,scy,101.49,106.39,111.19,115.99,125.69,135.39
single_age,,17,boys,500 fr,scy,275.49,288.59,301.69,314.89,341.09,367.29
single_age,,17,boys,1000 fr,scy,576.99,604.49,631.99,659.39,714.39,769.29
single_age,,17,boys,1650 fr,scy,963.89,1009.79,1055.69,1101.59,1193.39,1285.19
single_age,,17,boys,100 bk,scy,50.09,52.49,54.89,57.29,62.09,66.79
single_age,,17,boys,200 bk,scy,109.59,114.79,119.99,125.19,135.69,146.09
single_age,,17,boys,100 br,scy,56.69,59.39,62.09,64.69,70.09,75.49
single_age,,17,boys,200 br,scy,123.19,129.09,134.89,140.79,152.49,164.19
single_age,,17,boys,100 fl,scy,49.59,51.99,54.29,56.69,61.39,66.09
single_age,,17,boys,200 fl,scy,111.59,116.89,122.19,127.49,138.19,148.79
single_age,,17,boys,200 im,scy,112.19,117.49,122.89,128.19,138.89,149.59
single_age,,17,boys,400 im,scy,241.49,252.99,264.49,275.99,298.99,321.99
single_age,,18,girls,50 fr,scy,31.49,29.29,26.99,25.89,24.79,23.69
